Name,Country,Date,Cloudiness,Humidity,Wind Speed,Max Temp,Latitude,Longitude
Holland,US,1551830475.0,90,72,17.22,19.0,42.79,-86.11
Kahului,US,1551830472.0,75,53,16.11,78.01,20.89,-156.47
Petropavlovsk-Kamchatskiy,RU,1551828600.0,76,51,2.24,14.0,53.05,158.65
Norman Wells,CA,1551826800.0,20,57,8.05,19.4,65.28,-126.83
Rikitea,PF,1551830349.0,76,97,15.12,80.82,-23.12,-134.97
Kodiak,US,1551830524.0,40,28,14.99,21.2,39.95,-94.76
Khasan,RU,1551830604.0,88,100,4.72,33.66,42.43,130.64
Kaitangata,NZ,1551830465.0,0,73,4.0,69.01,-46.28,169.85
Axim,GH,1551830605.0,44,100,8.97,81.9,4.87,-2.24
Luderitz,NA,1551830571.0,0,83,7.74,60.71,-26.65,15.16
Graham,US,1551830606.0,1,69,8.19,43.0,36.07,-79.4
Nanortalik,GL,1551830612.0,80,100,31.68,25.29,60.14,-45.24
Kiama,AU,1551830525.0,0,35,10.29,84.2,-34.67,150.86
Tasiilaq,GL,1551826200.0,20,44,24.16,19.4,65.61,-37.64
Lamar,US,1551830436.0,1,78,11.41,32.0,38.09,-102.62
Bethel,US,1551830160.0,75,93,10.29,35.6,60.79,-161.76
Saldanha,PT,1551830613.0,92,89,16.8,51.71,41.42,-6.55
Marawi,PH,1551830445.0,0,73,4.0,78.01,8.0,124.29
Ponta Delgada,PT,1551830559.0,40,58,8.05,55.4,37.73,-25.67
Vaini,IN,1551830614.0,8,86,1.81,54.36,15.34,74.49
Tsogni,GA,1551830615.0,68,100,1.59,79.25,-2.79,10.1
Baneh,IR,1551826800.0,8,100,5.82,35.6,35.99,45.88
Barrow,AR,1551830615.0,76,30,7.96,70.43,-38.31,-60.23
Yellowknife,CA,1551826800.0,20,61,4.7,15.8,62.45,-114.38
Sulangan,PH,1551830616.0,12,100,17.02,79.74,11.14,123.72
Qandala,SO,1551830616.0,36,100,1.59,68.81,11.47,49.87
